id;river_km_id;datetime;water_perc;ice_perc;other_perc;cloud_perc;nd_perc;qc;source
74;117263;2019-04-19T18:59:24;93;7;0;0;0;2;Sentinel-1 Sentinel-2
75;117263;2019-04-20T18:50:37;99;0;0;0;1;2;Sentinel-1 Sentinel-2
76;117263;2019-04-21T18:43:05;98;1;0;0;1;2;Sentinel-1
77;117263;2019-04-22T18:34:18;99;1;0;0;0;2;Sentinel-1 Sentinel-2
78;117263;2019-04-25T18:58:43;9;91;0;0;0;0;Sentinel-1 Sentinel-2
79;117263;2019-04-26T18:51:17;99;1;0;0;0;2;Sentinel-1 Sentinel-2
80;117263;2019-04-27T12:54:01;0;4;0;95;1;0;Sentinel-2
81;117263;2019-04-28T18:35:00;99;1;0;0;0;2;Sentinel-1 Sentinel-2
82;117263;2019-04-30T13:04:09;1;84;0;14;1;0;Sentinel-2
83;117263;2019-05-01T18:59:24;99;1;0;0;0;2;Sentinel-1 Sentinel-2
84;117263;2019-05-02T07:33:09;99;0;0;0;1;2;Sentinel-1
85;117263;2019-05-03T18:43:05;99;0;0;0;1;2;Sentinel-1 Sentinel-2
86;117263;2019-05-04T18:34:18;99;1;0;0;0;2;Sentinel-1 Sentinel-2
87;117263;2019-05-05T13:04:15;1;64;2;33;0;0;Sentinel-1 Sentinel-2
88;117263;2019-05-07T18:58:44;88;12;0;0;0;2;Sentinel-1 Sentinel-2
89;117263;2019-05-08T18:51:17;91;9;0;0;0;2;Sentinel-1 Sentinel-2
90;117263;2019-05-10T18:35:00;89;11;0;0;0;2;Sentinel-1 Sentinel-2
91;117263;2019-05-12T13:43:28;0;0;0;99;1;0;Sentinel-2
92;117263;2019-05-13T07:42:12;71;29;0;0;0;2;Sentinel-1
93;117263;2019-05-14T18:50:38;71;29;0;0;0;1;Sentinel-1 Sentinel-2
94;117263;2019-05-15T18:43:07;99;0;0;0;1;2;Sentinel-1 Sentinel-2
95;117263;2019-05-16T18:34:18;99;1;0;0;0;2;Sentinel-1 Sentinel-2
96;117263;2019-05-17T12:53:58;2;60;0;37;1;0;Sentinel-1 Sentinel-2
97;117263;2019-05-19T07:41:20;99;1;0;0;0;2;Sentinel-1
98;117263;2019-05-20T07:34:03;99;1;0;0;0;2;Sentinel-1
99;117263;2019-05-22T18:35:01;98;1;0;0;1;2;Sentinel-1 Sentinel-2
100;117263;2019-05-25T18:59:26;5;94;1;0;0;0;Sentinel-1 Sentinel-2
101;117263;2019-05-26T18:50:39;99;1;0;0;0;2;Sentinel-1 Sentinel-2
102;117263;2019-05-27T18:43:07;90;9;1;0;0;2;Sentinel-1 Sentinel-2
103;117263;2019-05-28T18:34:20;73;26;0;0;1;2;Sentinel-1 Sentinel-2
104;117263;2019-05-30T13:04:19;4;87;1;8;0;0;Sentinel-2
105;117263;2019-05-31T18:58:44;86;14;0;0;0;2;Sentinel-1 Sentinel-2
106;117263;2019-06-01T18:51:19;77;22;0;0;1;2;Sentinel-1 Sentinel-2
107;117263;2019-06-03T18:35:01;70;30;0;0;0;2;Sentinel-1 Sentinel-2
108;117263;2019-06-06T18:59:27;77;20;3;0;0;2;Sentinel-1 Sentinel-2
109;117263;2019-06-07T18:50:39;84;16;0;0;0;2;Sentinel-1 Sentinel-2
110;117263;2019-06-08T18:43:08;35;65;1;0;-1;1;Sentinel-1 Sentinel-2
111;117263;2019-06-09T18:34:20;99;1;0;0;0;2;Sentinel-1 Sentinel-2
112;117263;2019-06-11T13:43:27;11;88;0;0;1;0;Sentinel-2
113;117263;2019-06-12T07:41:21;92;8;0;0;0;2;Sentinel-1
114;117263;2019-06-13T18:51:20;99;1;0;0;0;2;Sentinel-1 Sentinel-2
115;117263;2019-06-15T18:35:01;95;4;0;0;1;2;Sentinel-1 Sentinel-2
116;117263;2019-06-16T12:54:01;44;16;1;38;1;0;Sentinel-1 Sentinel-2
117;117263;2019-06-18T18:59:27;99;1;0;0;0;2;Sentinel-1 Sentinel-2
118;117263;2019-06-19T18:50:40;99;1;0;0;0;2;Sentinel-1 Sentinel-2
119;117263;2019-06-20T18:43:08;99;1;0;0;0;2;Sentinel-1 Sentinel-2
120;117263;2019-06-21T18:34:21;99;1;0;0;0;2;Sentinel-1 Sentinel-2
121;117263;2019-06-23T12:44:20;97;2;1;0;0;0;Sentinel-2
122;117263;2019-06-24T18:58:46;98;1;0;0;1;2;Sentinel-1 Sentinel-2
123;117263;2019-06-25T18:51:20;99;1;0;0;0;2;Sentinel-1 Sentinel-2
124;117263;2019-06-26T12:53:52;20;0;4;75;1;0;Sentinel-2
125;117263;2019-06-27T18:35:03;97;3;0;0;0;2;Sentinel-1 Sentinel-2
126;117263;2019-06-28T12:44:15;78;0;1;21;0;0;Sentinel-1 Sentinel-2
127;117263;2019-06-30T18:59:28;98;2;0;0;0;2;Sentinel-1 Sentinel-2
128;117263;2019-07-01T18:50:41;88;0;11;0;1;1;Sentinel-1 Sentinel-2
129;117263;2019-07-02T18:43:08;99;1;0;0;0;2;Sentinel-1 Sentinel-2
130;117263;2019-07-03T18:34:21;79;1;20;0;0;1;Sentinel-1 Sentinel-2
131;117263;2019-07-04T13:04:16;58;0;1;40;1;0;Sentinel-1 Sentinel-2
132;117263;2019-07-06T18:58:46;96;0;4;0;0;1;Sentinel-1 Sentinel-2
133;117263;2019-07-07T18:51:20;99;1;0;0;0;2;Sentinel-1 Sentinel-2
134;117263;2019-07-09T18:35:04;99;0;0;0;1;0;Sentinel-1 Sentinel-2
135;117263;2019-07-12T07:42:15;98;1;0;0;1;2;Sentinel-1
136;117263;2019-07-13T18:50:41;99;1;0;0;0;2;Sentinel-1 Sentinel-2
137;117263;2019-07-14T18:43:10;99;1;0;0;0;2;Sentinel-1 Sentinel-2
138;117263;2019-07-15T18:34:21;99;1;0;0;0;2;Sentinel-1
139;117263;2019-07-18T18:58:48;98;1;0;0;1;2;Sentinel-1 Sentinel-2
140;117263;2019-07-19T07:34:07;98;1;0;0;1;2;Sentinel-1
141;117263;2019-07-21T18:35:05;98;2;0;0;0;2;Sentinel-1 Sentinel-2
142;117263;2019-07-24T18:59:29;98;2;0;0;0;2;Sentinel-1 Sentinel-2
143;117263;2019-07-25T18:50:42;99;1;0;0;0;2;Sentinel-1 Sentinel-2
144;117263;2019-07-26T18:43:11;99;1;0;0;0;2;Sentinel-1 Sentinel-2
145;117263;2019-07-27T18:34:23;97;2;0;0;1;2;Sentinel-1
146;117263;2019-07-29T13:04:14;0;0;0;100;0;0;Sentinel-2
147;117263;2019-07-30T18:58:48;98;1;0;0;1;2;Sentinel-1 Sentinel-2
148;117263;2019-07-31T18:51:23;98;1;1;0;0;0;Sentinel-1 Sentinel-2
149;117263;2019-08-02T18:35:05;100;0;0;0;0;0;Sentinel-1 Sentinel-2
150;117263;2019-08-03T13:03:50;0;0;0;99;1;0;Sentinel-1 Sentinel-2
151;117263;2019-08-05T18:59:31;99;0;0;0;1;0;Sentinel-1 Sentinel-2
152;117263;2019-08-06T18:50:42;99;1;0;0;0;2;Sentinel-1 Sentinel-2
153;117263;2019-08-07T18:43:11;99;1;0;0;0;2;Sentinel-1 Sentinel-2
154;117263;2019-08-08T18:34:23;99;1;0;0;0;2;Sentinel-1 Sentinel-2
155;117263;2019-08-11T18:58:49;98;1;0;0;1;2;Sentinel-1 Sentinel-2
156;117263;2019-08-12T18:51:23;99;1;0;0;0;2;Sentinel-1 Sentinel-2
157;117263;2019-08-14T18:35:06;99;1;0;0;0;2;Sentinel-1 Sentinel-2
158;117263;2019-08-17T18:59:31;93;7;0;0;0;2;Sentinel-1 Sentinel-2
159;117263;2019-08-18T18:50:44;99;1;0;0;0;2;Sentinel-1 Sentinel-2
160;117263;2019-08-19T18:43:13;99;1;0;0;0;2;Sentinel-1 Sentinel-2
161;117263;2019-08-20T18:34:25;99;0;0;0;1;0;Sentinel-1 Sentinel-2
162;117263;2019-08-23T18:58:49;99;1;0;0;0;2;Sentinel-1 Sentinel-2
